country	year	suspected	examined	positive	test_positivity
Eritrea	2010	96792	79024	13894	0.18
Eritrea	2011	97479	67190	15308	0.23
Eritrea	2012	138982	84861	11557	0.14
Eritrea	2013	134183	81541	10890	0.13
Eritrea	2014	186358	63766	10993	0.17
Eritrea	2015	155782	59268	8332	0.14
Eritrea	2016	139798	83599	24251	0.29
Eritrea	2017	205836	74962	14519	0.19
Eritrea	2018	253687	70465	10325	0.15
Eritrea	2019	452673	116666	18117	0.16
Eritrea	2020	346565	101966	17936	0.18
Eritrea	2021	343054	98068	10114	0.1
Ethiopia	2010	5420110	2509543	1196829	0.48
Ethiopia	2011	5487972	3418719	1480360	0.43
Ethiopia	2012	5962646	3778479	1692578	0.45
Ethiopia	2013	9243894	8573335	2645454	0.31
Ethiopia	2014	7457765	7062717	2118815	0.3
Ethiopia	2015	5987580	5679932	1867059	0.33
Ethiopia	2016	6611801	6367309	1718504	0.27
Ethiopia	2017	6471958	6246949	1530739	0.25
Ethiopia	2018	5913799	5668995	962087	0.17
Ethiopia	2019	6708222	6596925	904495	0.14
Ethiopia	2020	7509602	7400644	1743755	0.24
Ethiopia	2021	6716458	6625851	1397151	0.21
Kenya	2010	7557454	2384402	898531	0.38
Kenya	2011	13127058	3009051	1002805	0.33
Kenya	2012	12883521	4836617	1426719	0.29
Kenya	2013	14742401	6606885	2060608	0.31
Kenya	2014	15204056	7444865	2415950	0.32
Kenya	2015	16037285	7772329	1025508	0.13
Kenya	2016	16290286	6167609	1569045	0.25
Kenya	2017	15362146	5952353	2215665	0.37
Kenya	2018	18435472	4282912	827947	0.19
Kenya	2019	8911133	NA	4656702	NA
Kenya	2020	14060361	6591588	1646648	0.25
Kenya	2021	13748015	7503911	1496769	0.2
Uganda	2010	15320926	3705284	1628595	0.44
Uganda	2011	12362291	385928	134726	0.35
Uganda	2012	16845771	3466571	1413149	0.41
Uganda	2013	26145615	3718588	1502362	0.4
Uganda	2014	19201136	2048185	578289	0.28
Uganda	2015	22952246	3684722	1248576	0.34
Uganda	2016	27257784	4492090	1542091	0.34
Uganda	2017	22319643	5515931	1694441	0.31
Uganda	2018	17111650	1606330	458909	0.29
Uganda	2019	25756835	4691859	1622576	0.35
Uganda	2020	27434176	4284114	1647933	0.38
Uganda	2021	25048071	4029037	1513116	0.38
United Republic of Tanzania2	2010	15452268	3701608	1277388	0.35
United Republic of Tanzania2	2011	15442493	5800195	1813654	0.31
United Republic of Tanzania2	2012	14659506	7077411	1772736	0.25
United Republic of Tanzania2	2013	15177829	6888029	1481759	0.22
United Republic of Tanzania2	2014	25197621	727130	572289	0.79
United Republic of Tanzania2	2015	20829480	673223	412702	0.61
United Republic of Tanzania2	2016	17881657	1386389	1262679	0.91
United Republic of Tanzania2	2017	20276522	2888538	916742	0.32
United Republic of Tanzania2	2018	22784288	3015052	831903	0.28
United Republic of Tanzania2	2019	20981250	1840897	366673	0.2
United Republic of Tanzania2	2020	22471902	1696487	296052	0.17
United Republic of Tanzania2	2021	20794633	1534975	229485	0.15
South Sudan4	2010	NA	NA	900283	NA
South Sudan4	2011	NA	NA	112024	NA
South Sudan4	2012	NA	NA	225371	NA
South Sudan4	2013	NA	NA	262520	NA
South Sudan4	2014	2492473	27321	18344	0.67
South Sudan4	2015	3814332	22721	11272	0.5
South Sudan4	2016	566043	6954	2357	0.34
South Sudan4	2017	5391360	800067	335642	0.42
South Sudan4	2018	6405779	1204	634	0.53
South Sudan4	2019	5258306	4689	1237	0.26
South Sudan4	2020	NA	33656	16535	0.49
South Sudan4	2021	4038950	300439	173612	0.58
